Date,Open
42237,16990.68945
42244,16649.41992
42251,16371.759769999999
42258,16330.40039
42265,16674.74023
42279,16258.25
42328,17732.75
42342,17482.67969
42356,17495.03906
42370,17405.48047
42377,16519.16992
42384,16354.330080000002
42391,15921.09961
42398,16090.259769999999
42426,16712.69922
42440,17014.99023
42447,17481.49023
42461,17661.74023
42468,17555.39063
42475,17925.94922
42482,17985.05078
42503,17711.11914
42510,17437.32031
42517,17826.84961
42524,17799.80078
42538,17733.43945
42545,17946.63086
42552,17924.24023
42559,17971.2207
42566,18508.88086
42573,18524.15039
42580,18442.51953
42601,18585.16992
42608,18467.91992
42615,18466.00977
42629,18217.21094
42636,18377.35938
42643,18181.80078
42650,18295.34961
42657,18177.34961
42664,18152.63086
42671,18193.78906
42685,18781.65039
42692,18905.33008
42706,19161.25
42713,19631.34961
42720,19909.00977
42727,19908.60938
42734,19833.16992
42748,19912.53906
42776,20211.23047
42783,20564.13086
42790,20751.91016
42804,20919.00977
42811,20965.36914
42825,20700.33984
42832,20647.81055
42839,20484.75
42846,20578.09961
42853,20987.39063
42860,20929.03906
42867,20893.18945
42874,20698.2793
42881,21070.15039
42888,21142.08984
42895,21208.96094
42902,21335.92969
42909,21380.91992
42916,21348.59961
42923,21354.66016
42944,21787.50977
42951,22058.39063
42972,21819.08008
42979,21981.76953
42986,21764.42969
42993,22252.43945
43000,22334.07031
43021,22876.42969
43028,23205.17969
43049,23432.71094
43063,23552.75
43070,24305.40039
43077,24263.25977
43084,24585.71094
43091,24764.03906
43098,24849.63086
43119,25987.34961
43126,26466.74023
43133,26061.78906
43140,23992.66992
43147,25165.93945
43154,25050.50977
43161,24394.91016
43168,25004.89063
43175,24877.33984
43182,23995.17969
43189,24076.59961
43203,24582.82031
43210,24657.39063
43231,24758.64063
43238,24707.7207
43245,24781.28906
43252,24542.08984
43266,25116.71094
43280,24323.92969
43287,24352.4707
43294,24926.07031
43301,25041.14063
43315,25360.36914
43329,25550.80078
43336,25688.58008
43343,25964.84961
43350,25951.01953
43357,26169.56055
43364,26726.25
43378,26632.76953
43385,25407.63086
43392,25421.08984
43399,24770.25
43406,25443.59961
43420,25242.34961
43434,25307.14063
43441,24918.82031
43448,24408.03906
43455,22871.74023
43476,23940.00977
43483,24534.18945
43497,25025.31055
43504,25042.35938
43518,25906.26953
43525,26019.66992
43546,25844.65039
43553,25827.31055
43574,26510.76953
43581,26454.61914
43588,26379.14063
43595,25763.7207
43602,25719.94922
43609,25551.07031
43616,25046.31055
43623,25768.7207
43637,26749.11914
43644,26605.92969
43651,26867.75
43658,27139.49023
43665,27246.38086
43686,26337.08984
43693,25678.16992
43700,26134.21094
43707,26476.39063
43714,26790.25
43721,27216.66992
43728,27102.179689999997
43735,26987.25977
43742,26271.69922
43749,26694.19922
43756,27004.49023
43777,27686.19922
43784,27843.539060000003
43791,27831.23047
43798,28103.160160000003
43805,27839.679689999997
43812,28123.64063
43826,28675.339839999997
43833,28553.33008
43840,28977.51953
43847,29313.31055
43854,29230.39063
43875,29440.4707
43882,29146.5293
43889,25270.83008
43896,25457.21094
43903,21973.82031
43910,20253.15039
43917,21898.4707
43924,21285.92969
43931,23698.92969
43938,23817.15039
43945,23628.24023
43952,24120.7793
43959,24107.82031
43966,23454.83008
43987,26836.80078
43994,25659.41992
44008,25641.68945
44015,25996.08008
44022,25690.34961
44029,26774.61914
44036,26533.41016
44043,26409.33008
44050,27321.679689999997
44057,27828.929689999997
44071,28601.289060000003
44078,28341.05078
44085,27613.85938
44092,27864.86914
44099,26694.50977
44106,27536.39063
44113,28533.60938
44120,28570.7207
44127,28409.65039
44134,26572.26953
44134,26572.26953
