Date,Open,High,Low,Close,Adj Close,Volume
41705,16424.5293,16505.69922,16084.09961,16108.88965,16108.88965,391110000
41712,16106.32031,16369.94043,16046.99023,16331.04981,16331.04981,435370000
41719,16332.69043,16466.03906,16191.79004,16264.23047,16264.23047,739820000
41726,16267.76953,16604.15039,16267.76953,16572.55078,16572.55078,434230000
41733,16576.01953,16631.63086,16153.33984,16170.21973,16170.21973,523500000
41740,16168.87012,16460.49023,16015.32031,16408.53906,16408.53906,538260000
41747,16408.91992,16565.71094,16402.08008,16501.65039,16501.65039,321500000
41754,16503.25977,16604.78906,16312.66016,16558.86914,16558.86914,435980000
41761,16562.33984,16622.94922,16357.34961,16550.9707,16550.9707,393060000
41768,16551.23047,16735.50977,16397.46094,16446.81055,16446.81055,396450000
41775,16447.32031,16565.39063,16341.29981,16543.08008,16543.08008,412640000
41782,16544.49023,16698.74023,16544.49023,16698.74023,16698.74023,260190000
41789,16697.33008,16845.81055,16648.84961,16836.10938,16836.10938,366610000
41796,16839.64063,16970.16992,16703.73047,16734.18945,16734.18945,346640000
41803,16734.64063,16923.42969,16718.59961,16921.46094,16921.46094,390590000
41810,16920.61914,16978.01953,16746.08984,16846.13086,16846.13086,528780000
41817,16846.90039,17074.65039,16773.83984,17068.25977,17068.25977,426740000
41824,17063.83008,17063.83008,16805.38086,16915.07031,16915.07031,271360000
41831,16918.31055,17151.56055,16860.30078,16976.81055,16976.81055,434040000
41838,16978.16016,17133.42969,16974.33984,17083.80078,17083.80078,397910000
41845,17079.5,17082.33008,16563.30078,16563.30078,16563.30078,388880000
41852,16561.69922,16596.2207,16333.78027,16368.26953,16368.26953,396780000
41859,16369.67969,16714.2207,16364.21973,16713.58008,16713.58008,339140000
41866,16717.00977,17074.58984,16575.41992,17039.49023,17039.49023,379190000
41873,17038.26953,17153.80078,16984.51953,17079.57031,17079.57031,285990000
41880,17083.41992,17161.55078,17009.07031,17069.58008,17069.58008,277210000
41887,17065.89063,17137.88086,16974.57031,17049,17049,351730000
41894,17044.05078,17275.36914,16937.66992,17265.99023,17265.99023,400870000
41901,17267.21094,17350.64063,16945.80078,16945.80078,16945.80078,675060000
41908,16948.61914,17148.15039,16674.03906,16801.05078,16801.05078,426910000
41915,16802.19922,17099.39063,16649.03906,16659.25,16659.25,1022950000
41922,16654.88086,16757.59961,15855.12012,16117.24023,16117.24023,646660000
41929,16118.38965,16767.51953,16118.38965,16677.90039,16677.90039,528810000
41936,16677.03906,17223.96094,16649.7207,17195.41992,17195.41992,403480000
41943,17208.7793,17560.31055,17208.7793,17554.4707,17554.4707,429730000
41950,17558.58008,17705.48047,17493.36914,17652.78906,17652.78906,363690000
41957,17653.10938,17735.71094,17603.89063,17719,17719,382120000
41964,17721.01953,17894.83008,17721.01953,17827.75,17827.75,382090000
41971,17830.55078,17937.96094,17726.55078,17900.09961,17900.09961,424500000
41978,17903.05078,17991.18945,17508.09961,17596.33984,17596.33984,473390000
41985,17590.05078,17778.40039,17067.58984,17778.15039,17778.15039,594800000
41992,17778.01953,18086.24023,17746.55078,18030.21094,18030.21094,567910000
41999,18038.30078,18103.44922,17820.88086,17823.07031,17823.07031,236770000
42006,17823.07031,17951.7793,17262.36914,17907.86914,17907.86914,500220000
42013,17911.01953,17923.00977,17264.90039,17320.71094,17320.71094,488950000
42020,17320,17840.89063,17243.55078,17813.98047,17813.98047,467590000
42027,17812.5,17812.5,17136.30078,17416.84961,17416.84961,547940000
42034,17416.84961,17889.58008,17037.75977,17884.88086,17884.88086,571960000
42041,17881.53906,17975.65039,17685.32031,17972.38086,17972.38086,472180000
42048,17968.65039,18052.00977,17924.59961,17985.76953,17985.76953,338210000
42055,17985.76953,18244.38086,17878.36914,18214.41992,18214.41992,436350000
42062,18213.25977,18288.63086,18029.5,18135.7207,18135.7207,431470000
42069,18135.7207,18135.7207,17620.49023,17895.2207,17895.2207,533290000
42076,17889.05078,18097.11914,17629.89063,17959.0293,17959.0293,536710000
42083,17961.13086,18205.92969,17579.26953,17678.23047,17678.23047,743390000
42090,17673.63086,18008.64063,17585.00977,17763.24023,17763.24023,517460000
42097,17755.5,17984.2207,17646.80078,17958.73047,17958.73047,336560000
42104,17956.73047,18169.25977,17905.48047,18105.76953,18105.76953,522460000
42111,18102.56055,18133.0293,17748.5293,18058.68945,18058.68945,528700000
42118,18056.41992,18175.56055,17774.89063,17840.51953,17840.51953,596430000
42125,17859.26953,18133.75977,17733.11914,17924.06055,17924.06055,454400000
42132,17933.64063,18255.21094,17924.80078,18252.24023,18252.24023,447040000
42139,18251.9707,18351.35938,18215.07031,18285.74023,18285.74023,438960000
42146,18286.86914,18286.86914,17990.01953,18126.11914,18126.11914,352240000
42153,18128.11914,18168.08984,17876.94922,17905.58008,17905.58008,469590000
42160,17905.38086,18109.76953,17714.9707,18039.36914,18039.36914,452460000
42167,18035.83008,18174.73047,17698.41992,18115.83984,18115.83984,440060000
42174,18116.24023,18188.81055,17890.35938,17890.35938,17890.35938,596020000
42181,17892.0293,18013.15039,17576.5,17730.10938,17730.10938,571010000
42188,17728.08008,17793.44922,17465.67969,17548.61914,17548.61914,366320000
42195,17561.11914,18131.60938,17561.11914,18120.25,18120.25,414410000
42202,18117.58008,18137.11914,17705.0293,17731.91992,17731.91992,482710000
42209,17731.05078,17776.7793,17399.16992,17745.98047,17745.98047,494570000
42216,17755.86914,17783.58984,17362.85938,17419.75,17419.75,491680000
42223,17414.93945,17629.13086,17125.81055,17408.25,17408.25,486190000
42230,17410.11914,17568.40039,16990.68945,16990.68945,16990.68945,468650000
42237,16990.68945,16990.68945,15370.33008,16654.76953,16654.76953,1112710000
42244,16649.41992,16669.9707,15979.9502,16374.75977,16374.75977,687830000
42251,16371.75977,16664.65039,16026.61035,16330.40039,16330.40039,492620000
42258,16330.40039,16933.42969,16244.65039,16674.74023,16674.74023,519560000
42265,16674.74023,16674.74023,16016.36035,16201.32031,16201.32031,759680000
42272,16205.07031,16465.23047,15942.37012,16272.00977,16272.00977,649040000
42279,16258.25,17081.2793,16013.66016,17050.75,17050.75,600960000
42286,17054.68945,17172.81055,16887.66992,17141.75,17141.75,518700000
42293,17141.75,17505.17969,17107.34961,17489.16016,17489.16016,630500000
42300,17525.10938,17786,17525.10938,17755.80078,17755.80078,594640000
42307,17756.59961,17977.84961,17655.01953,17863.42969,17863.42969,541180000
42314,17855.2207,17912.03906,17443.5,17448.07031,17448.07031,546190000
42321,17439.25,17772.9707,17210.42969,17732.75,17732.75,660860000
42328,17732.75,17914.33984,17683.50977,17813.39063,17813.39063,497530000
42335,17806.03906,17901.58008,17425.56055,17477.66992,17477.66992,571830000
42342,17482.67969,17866.4707,17403.50977,17574.75,17574.75,580370000
42349,17574.75,17796.75977,17138.4707,17495.83984,17495.83984,640050000
42356,17495.03906,17607.91992,17116.73047,17552.16992,17552.16992,684210000
42363,17535.66016,17750.01953,17421.16016,17425.0293,17425.0293,283080000
42370,17405.48047,17405.48047,16463.63086,16514.09961,16514.09961,550300000
42377,16519.16992,16651.89063,16075.12012,16379.04981,16379.04981,699480000
42384,16354.33008,16354.33008,15450.55957,15882.67969,15882.67969,720580000
42391,15921.09961,16235.03027,15863.71973,16069.63965,16069.63965,655780000
42398,16090.25977,16510.98047,15960.4502,16416.58008,16416.58008,731960000
42405,16417.94922,16423.63086,15503.00977,15660.17969,15660.17969,726990000
42412,15691.62012,16511.83984,15691.62012,16413.42969,16413.42969,503610000
42419,16410.96094,16697.98047,16165.86035,16697.28906,16697.28906,522490000
42426,16712.69922,16944.31055,16510.40039,16943.90039,16943.90039,525330000
42433,16945,17130.10938,16821.85938,16995.13086,16995.13086,549840000
42440,17014.99023,17529.00977,17014.99023,17481.49023,17481.49023,549300000
42447,17481.49023,17648.93945,17399.00977,17515.73047,17515.73047,669430000
42454,17526.08008,17790.10938,17434.26953,17685.08984,17685.08984,338550000
42461,17661.74023,17811.48047,17484.23047,17541.96094,17541.96094,494880000
42468,17555.39063,17962.14063,17528.16016,17926.42969,17926.42969,444330000
42475,17925.94922,18167.63086,17848.2207,17982.51953,17982.51953,500300000
42482,17985.05078,18084.66016,17796.55078,17830.75977,17830.75977,520470000
42489,17813.08984,17912.34961,17609.00977,17660.71094,17660.71094,490380000
42496,17650.30078,17934.60938,17580.38086,17720.5,17720.5,417350000
42503,17711.11914,17755.80078,17331.07031,17435.40039,17435.40039,452990000
42510,17437.32031,17891.71094,17437.32031,17828.28906,17828.28906,434380000
42517,17826.84961,17899.24023,17664.78906,17838.56055,17838.56055,374670000
42524,17799.80078,18016,17689.67969,17985.18945,17985.18945,373840000
42531,17938.82031,17938.82031,17471.28906,17733.09961,17733.09961,472050000
42538,17733.43945,18011.07031,17602.7793,18011.07031,18011.07031,620700000
42545,17946.63086,17946.63086,17063.08008,17929.99023,17929.99023,729340000
42552,17924.24023,18002.38086,17713.44922,17895.88086,17895.88086,360380000
42559,17971.2207,18537.57031,17971.2207,18506.41016,18506.41016,432480000
42566,18508.88086,18622.00977,18469.66992,18517.23047,18517.23047,465100000
42573,18524.15039,18571.30078,18368.82031,18456.34961,18456.34961,447010000
42580,18442.51953,18467.0293,18247.78906,18352.05078,18352.05078,427750000
42587,18402.80078,18638.33984,18402.80078,18613.51953,18613.51953,358570000
42594,18595.65039,18722.60938,18468.67969,18597.69922,18597.69922,333240000
42601,18585.16992,18631.59961,18431.46094,18448.41016,18448.41016,377360000
42608,18467.91992,18572.08984,18295.48047,18419.30078,18419.30078,385160000
42615,18466.00977,18551.53906,18439.09961,18479.91016,18479.91016,304690000
42622,18404.16992,18404.16992,17992.21094,18212.48047,18212.48047,529670000
42629,18217.21094,18449.88086,18070.21094,18392.46094,18392.46094,596170000
42636,18377.35938,18383.75977,18052.16016,18143.44922,18143.44922,460340000
42643,18181.80078,18369.61914,18116.25977,18268.5,18268.5,438550000
42650,18295.34961,18399.96094,17959.94922,18098.93945,18098.93945,398790000
42657,18177.34961,18261.10938,18063.01953,18162.34961,18162.34961,414480000
42664,18152.63086,18275.03906,18049.76953,18169.67969,18169.67969,459410000
42671,18193.78906,18257.06055,17904.07031,17930.66992,17930.66992,485680000
42678,17928.34961,18873.66016,17883.56055,18807.88086,18807.88086,608530000
42685,18781.65039,18934.05078,18736.96094,18903.82031,18903.82031,497470000
42692,18905.33008,19083.75977,18853.83008,19083.17969,19083.17969,353590000
42699,19093.7207,19225.28906,19062.2207,19191.92969,19191.92969,489230000
42706,19161.25,19664.9707,19141.17969,19614.81055,19614.81055,1397450000
42713,19631.34961,19966.42969,19623.18945,19852.24023,19852.24023,1822330000
42720,19909.00977,19987.63086,19821,19918.88086,19918.88086,1674790000
42727,19908.60938,19981.10938,19788.93945,19819.7793,19819.7793,677190000
42734,19833.16992,19956.14063,19718.66992,19899.28906,19899.28906,1161020000
42741,19906.96094,19999.63086,19770.4707,19891,19891,1507060000
42748,19912.53906,19952.0293,19677.93945,19732.40039,19732.40039,1187190000
42755,19795.06055,20125.58008,19732.35938,20100.91016,20100.91016,1865380000
42762,20103.35938,20115.9707,19784.76953,19884.91016,19884.91016,1808050000
42769,19964.21094,20206.35938,19964.21094,20172.40039,20172.40039,1511330000
42776,20211.23047,20639.86914,20204.75977,20619.76953,20619.76953,1721930000
42783,20564.13086,20840.69922,20532.60938,20810.32031,20810.32031,1290140000
